participant,condition,timestamp,interval_s
Participant_11,Moving,884.06,13.649999999999977
Participant_11,Moving,902.64,18.58000000000004
Participant_11,Moving,926.01,23.370000000000005
Participant_11,SemiStationary,604.21,21.710000000000036
Participant_11,SemiStationary,628.01,23.799999999999955
Participant_11,SemiStationary,643.25,15.240000000000009
Participant_11,SemiStationary,664.32,21.07000000000005
Participant_11,SemiStationary,692.8,28.479999999999905
Participant_11,SemiStationary,706.57,13.770000000000095
Participant_11,SemiStationary,724.89,18.319999999999936
Participant_11,SemiStationary,754.4,29.50999999999999
Participant_11,SemiStationary,766.46,12.06000000000006
Participant_11,SemiStationary,776.72,10.259999999999991
Participant_11,SemiStationary,799.61,22.889999999999986
Participant_11,SemiStationary,814.37,14.759999999999991
Participant_11,SemiStationary,833.2,18.83000000000004
Participant_11,SemiStationary,845.41,12.209999999999923
Participant_11,SemiStationary,860.24,14.830000000000041
Participant_11,SemiStationary,878.42,18.17999999999995
Participant_11,SemiStationary,898.4,19.980000000000018
Participant_11,SemiStationary,911.8,13.399999999999977
Participant_11,SemiStationary,927.09,15.290000000000077
Participant_11,SemiStationary,962.21,35.120000000000005
Participant_11,Stationary,489.99,11.180000000000007
Participant_11,Stationary,520.34,30.350000000000023
Participant_11,Stationary,562.0,41.65999999999997
Participant_11,Stationary,572.52,10.519999999999982
Participant_11,Stationary,581.95,9.430000000000064
Participant_11,Stationary,595.75,13.799999999999955
Participant_11,Stationary,619.38,23.629999999999995
Participant_11,Stationary,673.01,53.629999999999995
Participant_11,Stationary,697.79,24.779999999999973
Participant_11,Stationary,712.99,15.200000000000045
Participant_11,Stationary,744.81,31.819999999999936
Participant_11,Stationary,760.66,15.850000000000023
Participant_11,Stationary,783.61,22.950000000000045
Participant_11,Stationary,815.61,32.0
Participant_11,Stationary,843.91,28.299999999999955
Participant_11,Stationary,861.99,18.08000000000004
Participant_11,Stationary,876.01,14.019999999999982
Participant_11,Stationary,895.54,19.529999999999973
Participant_11,Stationary,922.49,26.950000000000045
Participant_11,Stationary,946.6,24.110000000000014
Participant_12,Moving,624.97,17.710000000000036
Participant_12,Moving,641.2,16.230000000000018
Participant_12,Moving,666.32,25.120000000000005
Participant_12,Moving,708.71,42.389999999999986
Participant_12,Moving,713.41,4.699999999999932
Participant_12,Moving,768.38,54.97000000000003
Participant_12,Moving,798.16,29.779999999999973
Participant_12,Moving,812.61,14.450000000000045
Participant_12,Moving,831.68,19.069999999999936
Participant_12,Moving,841.42,9.740000000000009
Participant_12,Moving,844.3,2.8799999999999955
Participant_12,Moving,859.05,14.75
Participant_12,Moving,872.2,13.150000000000091
Participant_12,Moving,882.92,10.719999999999914
Participant_12,Moving,901.27,18.350000000000023
Participant_12,Moving,913.16,11.889999999999986
Participant_12,Moving,945.41,32.25
Participant_12,Moving,960.71,15.300000000000068
Participant_12,Moving,970.07,9.360000000000014
Participant_12,Moving,991.0,20.92999999999995
Participant_12,SemiStationary,392.61,12.439999999999998
Participant_12,SemiStationary,398.68,6.069999999999993
Participant_12,SemiStationary,411.24,12.560000000000002
Participant_12,SemiStationary,428.59,17.349999999999966
Participant_12,SemiStationary,441.81,13.220000000000027
Participant_12,SemiStationary,455.14,13.329999999999984
Participant_12,SemiStationary,467.85,12.710000000000036
Participant_12,SemiStationary,485.61,17.75999999999999
Participant_12,SemiStationary,495.83,10.21999999999997
Participant_12,SemiStationary,514.7,18.87000000000006
Participant_12,SemiStationary,529.41,14.709999999999923
Participant_12,SemiStationary,550.01,20.600000000000023
Participant_12,SemiStationary,566.6,16.590000000000032
Participant_12,SemiStationary,581.61,15.009999999999991
Participant_12,SemiStationary,607.21,25.600000000000023
Participant_12,SemiStationary,622.6,15.389999999999986
Participant_12,SemiStationary,624.17,1.5699999999999363
Participant_12,SemiStationary,646.69,22.520000000000095
Participant_12,SemiStationary,666.11,19.41999999999996
Participant_12,SemiStationary,696.21,30.100000000000023
Participant_12,Stationary,533.79,21.709999999999923
Participant_12,Stationary,568.4,34.610000000000014
Participant_12,Stationary,592.83,24.430000000000064
Participant_12,Stationary,603.43,10.599999999999909
Participant_12,Stationary,617.61,14.180000000000064
Participant_12,Stationary,630.15,12.539999999999964
Participant_12,Stationary,648.2,18.050000000000068
Participant_12,Stationary,655.01,6.809999999999945
Participant_12,Stationary,678.13,23.120000000000005
Participant_12,Stationary,690.17,12.039999999999964
Participant_12,Stationary,706.01,15.840000000000032
Participant_12,Stationary,722.37,16.360000000000014
Participant_12,Stationary,736.03,13.659999999999968
Participant_12,Stationary,747.6,11.57000000000005
Participant_12,Stationary,763.92,16.319999999999936
Participant_12,Stationary,776.0,12.080000000000041
Participant_12,Stationary,780.61,4.610000000000014
Participant_12,Stationary,791.14,10.529999999999973
Participant_12,Stationary,803.4,12.259999999999991
Participant_12,Stationary,807.37,3.9700000000000273
Participant_13,Moving,282.22,14.470000000000027
Participant_13,Moving,371.81,89.58999999999997
Participant_13,Moving,393.22,21.410000000000025
Participant_13,Moving,403.59,10.369999999999948
Participant_13,Moving,445.61,42.02000000000004
Participant_13,Moving,473.12,27.50999999999999
Participant_13,Moving,490.26,17.139999999999986
Participant_13,Moving,525.6,35.34000000000003
Participant_13,Moving,545.89,20.289999999999964
Participant_13,Moving,562.81,16.91999999999996
Participant_13,Moving,565.82,3.0100000000001046
Participant_13,Moving,590.16,24.339999999999918
Participant_13,Moving,611.91,21.75
Participant_13,Moving,626.81,14.899999999999977
Participant_13,Moving,642.57,15.760000000000105
Participant_13,Moving,666.86,24.289999999999964
Participant_13,Moving,715.8,48.93999999999994
Participant_13,Moving,751.89,36.09000000000003
Participant_13,Moving,788.95,37.06000000000006
Participant_13,Moving,936.81,147.8599999999999
Participant_13,SemiStationary,1243.77,17.37999999999988
Participant_13,SemiStationary,1290.61,46.83999999999992
Participant_13,SemiStationary,1310.36,19.75
Participant_13,SemiStationary,1331.09,20.730000000000018
Participant_13,SemiStationary,1392.61,61.51999999999998
Participant_13,SemiStationary,1409.44,16.830000000000155
Participant_13,SemiStationary,1426.83,17.389999999999873
Participant_13,SemiStationary,1481.61,54.77999999999997
Participant_13,SemiStationary,1499.55,17.940000000000055
Participant_13,SemiStationary,1516.57,17.019999999999982
Participant_13,SemiStationary,1571.81,55.24000000000001
Participant_13,SemiStationary,1591.43,19.62000000000012
Participant_13,SemiStationary,1604.51,13.079999999999927
