participant,condition,task,anchor,num_completions,mean_duration_s,median_duration_s,std_duration_s,accuracy
Participant_16,SemiStationary,Visual,Head,7,11.422857142857143,11.5,5.135730114552731,1.0
Participant_16,Stationary,Controls,World,7,3.487142857142857,3.36,1.486323364163109,1.0
Participant_16,Stationary,Key,World,7,40.097142857142856,34.54,30.806135597899818,1.0
Participant_16,Stationary,Visual,World,7,12.379999999999999,8.43,10.000588316027548,1.0
Participant_17,Moving,Controls,Arm,7,6.38,5.93,4.060779892253867,1.0
Participant_17,Moving,Key,Arm,6,95.89166666666667,89.03,43.30304673653653,1.0
Participant_17,Moving,Visual,Torso,7,14.087142857142856,13.81,3.607393862082497,0.8571428571428571
Participant_17,SemiStationary,Controls,Arm,7,7.555714285714286,6.56,3.8406460270066427,1.0
Participant_17,SemiStationary,Key,Arm,7,47.03142857142858,44.25,19.498619975587527,0.7142857142857143
Participant_17,SemiStationary,Visual,Torso,7,12.894285714285715,12.44,7.353445580458314,0.8571428571428571
Participant_17,Stationary,Controls,World,7,6.01,5.81,2.445117584084659,1.0
Participant_17,Stationary,Key,World,7,27.080000000000002,34.18,17.972615279919616,0.8571428571428571
Participant_17,Stationary,Visual,World,7,13.662857142857144,14.74,3.326277770951158,1.0
Participant_18,Moving,Controls,Arm,7,13.657142857142857,10.96,10.300496289476726,1.0
Participant_18,Moving,Key,Torso,7,51.425714285714285,46.05,20.98836094691759,0.8571428571428571
Participant_18,Moving,Visual,Torso,7,11.37857142857143,11.78,4.477623732038489,1.0
Participant_18,SemiStationary,Controls,Arm,7,6.147142857142858,5.07,2.7273107284509788,1.0
Participant_18,SemiStationary,Key,Head,7,51.221428571428575,43.75,22.434811067157387,1.0
Participant_18,SemiStationary,Visual,Head,7,12.555714285714286,10.93,6.879498182142011,0.8571428571428571
Participant_18,Stationary,Controls,World,7,6.138571428571429,6.0,2.32832864641448,1.0
Participant_18,Stationary,Key,World,7,52.035714285714285,49.93,22.433118268267904,0.8571428571428571
Participant_18,Stationary,Visual,World,7,11.24,10.72,5.145535281516719,1.0
Participant_19,Moving,Controls,Arm,6,4.578333333333333,4.745,1.7553964414532313,1.0
Participant_19,Moving,Controls,Head,1,4.7,4.7,,1.0
Participant_19,Moving,Key,Torso,7,64.56285714285714,61.13,28.796301680531656,0.8571428571428571
Participant_19,Moving,Visual,Torso,7,12.391428571428571,10.53,8.55889873868406,0.8571428571428571
Participant_19,SemiStationary,Controls,Torso,7,6.527142857142857,5.86,3.6457907888674135,1.0
Participant_19,SemiStationary,Key,Torso,7,38.94428571428572,43.2,14.676635464963644,1.0
Participant_19,SemiStationary,Visual,Torso,7,9.654285714285715,9.83,3.998399084395558,1.0
Participant_19,Stationary,Controls,Arm,7,4.9314285714285715,4.03,2.5300159984436768,1.0
Participant_19,Stationary,Key,World,7,67.67285714285714,58.55,44.96153678952923,0.8571428571428571
Participant_19,Stationary,Visual,World,7,13.001428571428571,13.98,8.58642228282814,1.0
Participant_2,Moving,Controls,Torso,9,5.3566666666666665,4.94,3.0924060212074354,1.0
Participant_2,Moving,Key,Head,7,32.605714285714285,25.26,16.827740843760395,0.7142857142857143
Participant_2,Moving,Visual,Torso,7,11.9,7.42,10.118916279259684,0.8571428571428571
Participant_2,SemiStationary,Controls,Torso,9,7.187777777777778,6.36,5.792561561558448,1.0
Participant_2,SemiStationary,Key,Head,7,42.37428571428571,32.14,33.827923306613066,0.8571428571428571
Participant_2,SemiStationary,Visual,Torso,8,10.37375,8.525,5.663711396753394,1.0
Participant_2,Stationary,Controls,World,10,3.845,3.56,2.2178129868057956,1.0
Participant_2,Stationary,Key,World,7,24.942857142857143,18.35,10.666870384959395,1.0
Participant_2,Stationary,Visual,World,7,6.535714285714286,5.46,2.907185678870301,0.8571428571428571
Participant_3,Moving,Controls,Arm,8,3.56,2.84,2.8090618667855236,1.0
Participant_3,Moving,Key,Head,7,50.287142857142854,43.32,20.275411803697697,1.0
Participant_3,Moving,Visual,Torso,7,8.171428571428573,9.37,3.9203164352359305,1.0
Participant_3,SemiStationary,Controls,Arm,7,3.7642857142857147,3.83,0.6524532459075043,1.0
Participant_3,SemiStationary,Key,World,7,33.955714285714286,32.8,22.410645429603953,1.0
Participant_3,SemiStationary,Visual,World,7,7.922857142857143,7.75,3.766898433661812,1.0
Participant_3,Stationary,Controls,World,9,2.787777777777778,2.57,0.857143187830624,1.0
Participant_3,Stationary,Key,World,7,26.592857142857145,26.0,11.822541625056367,0.8571428571428571
Participant_3,Stationary,Visual,World,7,8.037142857142857,8.42,3.822916488257424,1.0
Participant_4,Moving,Controls,Head,8,3.99375,3.955,1.9140080422282153,1.0
