participant,condition,task,mean_interval_s,median_interval_s,std_interval_s,count
Participant_15,Stationary,Controls,52.60666666666666,54.995000000000005,12.630744501677908,6
Participant_15,Stationary,Key,58.33166666666667,53.599999999999994,15.79389934964341,6
Participant_15,Stationary,Visual,55.223333333333336,61.85000000000002,17.000966639184576,6
Participant_16,Moving,Controls,70.07333333333334,73.60499999999999,15.984388216840399,6
Participant_16,Moving,Key,64.33166666666666,68.29500000000002,11.579501572462707,6
Participant_16,Moving,Visual,70.16833333333332,73.23499999999999,19.616727980646182,6
Participant_16,SemiStationary,Controls,61.06333333333333,65.72500000000002,18.416083912348626,6
Participant_16,SemiStationary,Key,67.0,67.505,18.512807458621737,6
Participant_16,SemiStationary,Visual,59.63833333333332,66.935,29.879811523278832,6
Participant_16,Stationary,Controls,66.14333333333333,57.110000000000014,30.032981647959428,6
Participant_16,Stationary,Key,63.23333333333335,55.30000000000001,34.02343172971633,6
Participant_16,Stationary,Visual,66.63166666666666,62.92000000000007,23.060434008636218,6
Participant_17,Moving,Controls,115.55999999999999,118.34999999999991,55.615957422308234,6
Participant_17,Moving,Key,129.24200000000002,94.6099999999999,60.892921345588256,5
Participant_17,Moving,Visual,115.255,116.16000000000008,52.758221634168116,6
Participant_17,SemiStationary,Controls,65.15166666666666,55.629999999999995,31.50423870952393,6
Participant_17,SemiStationary,Key,73.76666666666667,76.70000000000005,18.029894804647817,6
Participant_17,SemiStationary,Visual,72.70833333333333,75.935,20.569079139977728,6
Participant_17,Stationary,Controls,48.089999999999996,41.795000000000016,30.555241776166643,6
Participant_17,Stationary,Key,44.79999999999999,45.29499999999999,15.919498735827087,6
Participant_17,Stationary,Visual,47.70666666666667,49.10499999999999,15.732903948943015,6
Participant_18,Moving,Controls,79.815,80.32499999999993,20.674088855376407,6
Participant_18,Moving,Key,84.935,81.19500000000005,22.219950269971328,6
Participant_18,Moving,Visual,85.5,77.0,37.296657759107596,6
Participant_18,SemiStationary,Controls,66.40166666666667,65.54500000000002,13.611823414468283,6
Participant_18,SemiStationary,Key,67.86833333333333,69.1,18.85203587591183,6
Participant_18,SemiStationary,Visual,72.72666666666667,71.72999999999996,18.142959699747628,6
Participant_18,Stationary,Controls,67.6133333333333,63.0,22.33897282031266,6
Participant_18,Stationary,Key,67.10000000000002,59.29499999999996,22.201677414105504,6
Participant_18,Stationary,Visual,74.31333333333335,73.02500000000009,17.86992520036577,6
Participant_19,Moving,Controls,77.91499999999999,80.05000000000001,34.118235446751946,6
Participant_19,Moving,Key,84.26666666666667,81.59500000000003,22.296715154180593,6
Participant_19,Moving,Visual,78.57,74.195,39.55930333056941,6
Participant_19,SemiStationary,Controls,59.929999999999986,64.29499999999996,12.494589228942232,6
Participant_19,SemiStationary,Key,61.201666666666675,64.495,13.660719478368149,6
Participant_19,SemiStationary,Visual,61.09166666666666,64.08499999999992,18.083461412756886,6
Participant_19,Stationary,Controls,59.03166666666666,61.004999999999995,17.28719921406202,6
Participant_19,Stationary,Key,80.63333333333333,69.79500000000002,60.663955910133865,6
Participant_19,Stationary,Visual,58.776666666666664,66.425,23.777706085042478,6
Participant_2,Moving,Controls,43.21374999999999,49.57000000000005,29.351663344203054,8
Participant_2,Moving,Key,58.401666666666664,61.10500000000002,17.123459249423394,6
Participant_2,Moving,Visual,56.48999999999999,61.214999999999975,18.7200651708267,6
Participant_2,SemiStationary,Controls,44.7875,38.81,31.823887591376565,8
Participant_2,SemiStationary,Key,64.635,66.4,33.10287344023173,6
Participant_2,SemiStationary,Visual,44.04142857142857,38.29000000000002,25.186269029355024,7
Participant_2,Stationary,Controls,22.914444444444445,27.140000000000015,11.868914347057094,9
Participant_2,Stationary,Key,33.001666666666665,28.904999999999994,10.642032543958262,6
Participant_2,Stationary,Visual,33.73833333333334,34.465,13.207283470368408,6
Participant_3,Moving,Controls,59.14285714285716,74.11000000000013,31.146190625439147,7
Participant_3,Moving,Key,62.73499999999998,59.19999999999993,20.172648561852316,6
Participant_3,Moving,Visual,64.78666666666668,59.60500000000002,14.678097515232208,6
Participant_3,SemiStationary,Controls,58.02333333333333,56.715,23.45929552792809,6
Participant_3,SemiStationary,Key,51.73333333333333,52.505000000000024,11.743607055188228,6
Participant_3,SemiStationary,Visual,58.53333333333333,61.56000000000002,27.953859602328034,6
Participant_3,Stationary,Controls,31.798750000000005,26.265000000000015,25.86508536756506,8
Participant_3,Stationary,Key,44.53333333333333,42.504999999999995,19.586145783861262,6
Participant_3,Stationary,Visual,42.073333333333345,41.09000000000003,12.160658973372573,6
Participant_4,Moving,Controls,60.05000000000002,65.0,41.7417928060915,7
Participant_4,Moving,Key,73.53333333333335,72.495,29.284349176081548,6
Participant_4,Moving,Visual,74.03666666666668,68.57500000000005,29.624623316873866,6
Participant_4,SemiStationary,Controls,55.165000000000006,75.60500000000002,33.58690603706836,8
Participant_4,SemiStationary,Key,74.53499999999998,70.39999999999998,18.087957043292654,6
Participant_4,SemiStationary,Visual,74.80333333333334,64.59000000000003,27.555227211305468,6
Participant_4,Stationary,Controls,48.035714285714285,56.02000000000004,21.947468234508563,7
Participant_4,Stationary,Key,57.26666666666667,61.599999999999994,12.626493839014344,6
Participant_4,Stationary,Visual,61.48833333333332,64.60999999999996,9.51353018950729,6
Participant_5,Moving,Controls,74.39333333333335,72.71499999999997,19.553648934832243,6
Participant_5,Moving,Key,68.86666666666666,62.49500000000003,13.406996183585138,6
Participant_5,Moving,Visual,74.71333333333334,67.375,50.60125953636597,6
Participant_5,SemiStationary,Controls,73.80499999999999,82.69500000000005,22.751406769692295,6
